"Edit Contact Name: '%s'","Edit Contact Name: '%s'"
"Refresh","Refresh"
'* Required Fields','* Required Fields'
'Action','Action'
'Add Item','Add Item'
'Add New Contact','Add New Contact'
'Are you sure?','Are you sure?'
'CSV','CSV'
'Change status','Change status'
'Comment','Comment'
'Contact Information','Contact Information'
'Contact does not exist','Contact does not exist'
'Customer Name','Customer Name'
'Delete Contact','Delete Contact'
'Delete','Delete'
'Disabled','Disabled'
'Edit','Edit'
'Email','Email'
'Enabled','Enabled'
'Enter the text above','Enter the text above'
'ID','ID'
'Item was successfully deleted','Item was successfully deleted'
'Item was successfully saved','Item was successfully saved'
'Left Sidebar','Left Sidebar'
'Manage Contacts','Manage Contacts'
'Name','Name'
'Please select item(s)','Please select item(s)'
'Quick Contact','Quick Contact'
'Right Sidebar','Right Sidebar'
'Save And Continue Edit','Save And Continue Edit'
'Save Contact','Save Contact'
'Status','Status'
'Submit','Submit'
'Telephone','Telephone'
'Total of %d record(s) were successfully updated','Total of %d record(s) were successfully updated'
'Unable to find item to save','Unable to find item to save'
'Unable to submit your request. Please, try again later','Unable to submit your request. Please, try again later'
'XML','XML'
'Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.','Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.'
Email Customer Template,Email Customer Template
Email Setting,Email Setting
Enable Captcha,Enable Captcha
Enable Quick Contact,Enable Quick Contact
Enable Sidebar,Enable Sidebar
General Settings,General Settings
Magebuzz Add-ons,Magebuzz Add-ons
Quick Contact,Quick Contact
Quick Contact Module,Quick Contact Module
Send Emails To,Send Emails To
Slogan for quick contact,Slogan for quick contact
